Flavour,vCPUs,RAM (GiB),HDD (GB),SSD (GB),Price per hour (NZD)
A0,1.00000,0.75000,20.00000,0.00000,0.03600
A1,1.00000,1.75000,40.00000,0.00000,0.04800
A2,2.00000,3.50000,60.00000,0.00000,0.15600
A3,4.00000,7.00000,120.00000,0.00000,0.34700
A4,8.00000,14.00000,240.00000,0.00000,0.69300
A1 v2,1.00000,2.00000,0.00000,10.00000,0.07500
A2 v2,2.00000,4.00000,0.00000,20.00000,0.15900
A4 v2,4.00000,8.00000,0.00000,40.00000,0.33200
A8 v2,8.00000,16.00000,0.00000,80.00000,0.69800
A2m v2,2.00000,16.00000,0.00000,20.00000,0.26600
A4m v2,4.00000,32.00000,0.00000,40.00000,0.55900
A8m v2,8.00000,64.00000,0.00000,80.00000,1.17400
D1 v2,1.00000,3.50000,0.00000,50.00000,0.12300
D2 v2,2.00000,7.00000,0.00000,100.00000,0.23300
D3 v2,4.00000,14.00000,0.00000,200.00000,0.46600
D4 v2,8.00000,28.00000,0.00000,400.00000,0.93100
D5 v2,16.00000,56.00000,0.00000,800.00000,1.86100
F1,1.00000,2.00000,16.00000,0.00000,0.09800
F2,2.00000,4.00000,32.00000,0.00000,0.19500
F4,4.00000,8.00000,64.00000,0.00000,0.39000
F8,8.00000,16.00000,128.00000,0.00000,0.78000
F16,16.00000,32.00000,256.00000,0.00000,1.55600
D11 v2,2.00000,14.00000,100.00000,0.00000,0.29900
D12 v2,4.00000,28.00000,200.00000,0.00000,0.59600
D13 v2,8.00000,56.00000,400.00000,0.00000,1.19200
D14 v2,16.00000,112.00000,800.00000,0.00000,2.38300
D15 v2,20.00000,140.00000,1000.00000,0.00000,2.97900
