Flavour,vCPUs,RAM (GiB),HDD (GB),SSD (GB),Price per hour (NZD)
n1-standard-1,1.00000,3.75000,0.00000,0.00000,0.09227
n1-standard-2,2.00000,7.50000,0.00000,0.00000,0.18453
n1-standard-4,4.00000,15.00000,0.00000,0.00000,0.36921
n1-standard-8,8.00000,30.00000,0.00000,0.00000,0.73827
n1-standard-16,16.00000,60.00000,0.00000,0.00000,1.47669
n1-standard-32,32.00000,120.00000,0.00000,0.00000,2.95337
n1-standard-64,64.00000,240.00000,0.00000,0.00000,5.90661
f1-micro,1.00000,0.60000,0.00000,0.00000,0.01451
g1-small,1.00000,1.70000,0.00000,0.00000,0.04887
n1-highmem-2,2.00000,13.00000,0.00000,0.00000,0.22985
n1-highmem-4,4.00000,26.00000,0.00000,0.00000,0.45969
n1-highmem-8,8.00000,52.00000,0.00000,0.00000,0.91939
n1-highmem-16,16.00000,104.00000,0.00000,0.00000,1.83864
n1-highmem-32,32.00000,208.00000,0.00000,0.00000,3.67727
n1-highmem-64,64.00000,416.00000,0.00000,0.00000,7.35468
n1-highcpu-2,2.00000,1.80000,0.00000,0.00000,0.13772
n1-highcpu-4,4.00000,3.60000,0.00000,0.00000,0.27543
n1-highcpu-8,8.00000,7.20000,0.00000,0.00000,0.55073
n1-highcpu-16,16.00000,14.40000,0.00000,0.00000,1.10146
n1-highcpu-32,32.00000,28.80000,0.00000,0.00000,2.20291
n1-highcpu-64,64.00000,57.60000,0.00000,0.00000,4.40597
