,Flavour,vCPUs,RAM (GiB),HDD (GB),SSD (GB),AWS,Catalyst,Google,Azure
0,t2.nano,1.0,0.5,0.0,0.0,0.01095,0.05109374999999999,0.04376109375000001,0.061343750000000016
1,t2.micro,1.0,1.0,0.0,0.0,0.0219,0.05109374999999999,0.04376109375000001,0.061343750000000016
2,t2.small,1.0,2.0,0.0,0.0,0.04381,0.06468749999999997,0.07833874999999997,0.087453125
3,t2.medium,2.0,4.0,0.0,0.0,0.08761000000000001,0.12759374999999992,0.16545968749999998,0.17981250000000013
4,t2.large,2.0,8.0,0.0,0.0,0.17523,0.20404687499999993,0.18644187500000006,0.25976562500000006
5,t2.xlarge,4.0,16.0,0.0,0.0,0.35045,0.41182812499999977,0.3672703124999998,0.4600000000000002
6,t2.2xlarge,8.0,32.0,0.0,0.0,0.7009,0.7999062500000002,0.7787853125000002,0.9338124999999998
7,m4.large,2.0,8.0,0.0,0.0,0.17112,0.20404687499999993,0.18644187500000006,0.25976562500000006
8,m4.xlarge,4.0,16.0,0.0,0.0,0.34224,0.41182812499999977,0.3672703124999998,0.4600000000000002
9,m4.2xlarge,8.0,32.0,0.0,0.0,0.68448,0.7999062500000002,0.7787853125000002,0.9338124999999998
10,m4.4xlarge,16.0,64.0,0.0,0.0,1.36895,1.2786718749999995,1.6836339062500008,1.5848906249999999
11,m4.10xlarge,40.0,160.0,0.0,0.0,3.4223800000000004,2.0170937500000012,2.9384853125000023,1.999390625
12,m4.16xlarge,64.0,256.0,0.0,0.0,5.4758,2.0170937500000012,5.270444999999999,1.999390625
13,m3.medium,1.0,3.75,0.0,4.0,0.12730999999999998,0.10599999999999994,0.118391875,0.13293750000000001
14,m3.large,2.0,7.5,0.0,32.0,0.25461999999999996,0.20404687499999993,0.18644187500000006,0.2431093750000001
15,m3.xlarge,4.0,15.0,0.0,80.0,0.50925,0.41182812499999977,0.3672703124999998,0.43318750000000034
16,m3.2xlarge,8.0,30.0,0.0,160.0,1.01987,0.7999062500000002,0.7787853125000002,0.8146562500000001
17,c4.large,2.0,3.75,0.0,0.0,0.17795999999999998,0.12759374999999992,0.16545968749999998,0.1627343750000001
