,Flavour,vCPUs,RAM (GiB),HDD (GB),SSD (GB),Catalyst,Google,AWS,Azure
0,c1.c1r1,1,1,0,0,0.044,0.0437610938,0.029494375,0.06134375
1,c1.c1r2,1,2,0,0,0.062,0.07833875,0.0411335938,0.087453125
2,c1.c1r4,1,4,0,0,0.098,0.118391875,0.09584625,0.149828125
3,c1.c2r1,2,1,0,0,0.07,0.1026759375,0.0601673438,0.094734375
4,c1.c2r2,2,2,0,0,0.088,0.1345521875,0.0678696875,0.114
5,c1.c2r4,2,4,0,0,0.124,0.1654596875,0.1169142188,0.1798125
6,c1.c2r8,2,8,0,0,0.196,0.186441875,0.1815547846,0.259765625
7,c1.c2r16,2,16,0,0,0.339,0.2505132813,0.2132944688,0.32
8,c1.c4r2,4,2,0,0,0.14,0.25409375,0.3242401172,0.245640625
9,c1.c4r4,4,4,0,0,0.176,0.2862842188,0.3316405859,0.274484375
10,c1.c4r8,4,8,0,0,0.248,0.3015775,0.3604662422,0.374984375
11,c1.c4r16,4,16,0,0,0.391,0.3672703125,0.3534792214,0.46
12,c1.c4r32,4,32,0,0,0.678,0.505196875,0.4854537604,0.698
13,c1.c8r4,8,4,0,0,0.28,0.556131875,0.6482006563,0.612015625
14,c1.c8r8,8,8,0,0,0.352,0.5769507813,0.6763712813,0.651703125
15,c1.c8r16,8,16,0,0,0.496,0.6159903125,0.6808841458,0.7493125
16,c1.c8r32,8,32,0,0,0.783,0.7787853125,0.7374801042,0.9338125
17,c1.c8r64,8,64,0,0,1.112,1.217,0.9756333594,1.11646875
18,c1.c16r8,16,8,0,0,0.566,1.0682814063,1.2179825,1.197125
19,c1.c16r16,16,16,0,0,0.711,1.109985625,1.2346878125,1.241796875
20,c1.c16r32,16,32,0,0,1.001,1.2055009375,1.361530625,1.483703125
21,c1.c16r64,16,64,0,0,1.352,1.6836339063,1.41511,1.584890625
22,c1.c32r16,32,16,0,0,1.057,2.1846876563,2.4843239063,1.3285625
23,c1.c32r32,32,32,0,0,1.26,2.2953854688,2.6062251042,1.580578125
24,c1.c32r64,32,64,0,0,1.586,2.7035153125,2.8783245313,1.69446875
25,c1.c32r96,32,96,0,0,1.816,2.7742146875,3.0362246875,1.9074375
26,c1.c32r128,32,128,0,0,2.191,2.972113125,3.1755165625,1.999390625
