Flavour,vCPUs,RAM (GiB),HDD (GB),SSD (GB),Price per hour (NZD)
t2.nano,1.00000,0.50000,0.00000,0.00000,0.01095
t2.micro,1.00000,1.00000,0.00000,0.00000,0.02190
t2.small,1.00000,2.00000,0.00000,0.00000,0.04381
t2.medium,2.00000,4.00000,0.00000,0.00000,0.08761
t2.large,2.00000,8.00000,0.00000,0.00000,0.17523
t2.xlarge,4.00000,16.00000,0.00000,0.00000,0.35045
t2.2xlarge,8.00000,32.00000,0.00000,0.00000,0.70090
m4.large,2.00000,8.00000,0.00000,0.00000,0.17112
m4.xlarge,4.00000,16.00000,0.00000,0.00000,0.34224
m4.2xlarge,8.00000,32.00000,0.00000,0.00000,0.68448
m4.4xlarge,16.00000,64.00000,0.00000,0.00000,1.36895
m4.10xlarge,40.00000,160.00000,0.00000,0.00000,3.42238
m4.16xlarge,64.00000,256.00000,0.00000,0.00000,5.47580
m3.medium,1.00000,3.75000,0.00000,4.00000,0.12731
m3.large,2.00000,7.50000,0.00000,32.00000,0.25462
m3.xlarge,4.00000,15.00000,0.00000,80.00000,0.50925
m3.2xlarge,8.00000,30.00000,0.00000,160.00000,1.01987
c4.large,2.00000,3.75000,0.00000,0.00000,0.17796
c4.xlarge,4.00000,7.50000,0.00000,0.00000,0.35730
c4.2xlarge,8.00000,15.00000,0.00000,0.00000,0.71459
c4.4xlarge,16.00000,30.00000,0.00000,0.00000,1.42645
c4.8xlarge,36.00000,60.00000,0.00000,0.00000,2.85426
c3.large,2.00000,3.75000,0.00000,31.00000,0.18070
c3.xlarge,4.00000,7.50000,0.00000,80.00000,0.36277
c3.2xlarge,8.00000,15.00000,0.00000,160.00000,0.72417
c3.4xlarge,16.00000,30.00000,0.00000,320.00000,1.44835
c3.8xlarge,32.00000,60.00000,0.00000,640.00000,2.89807
x1.16xlarge,64.00000,976.00000,0.00000,1920.00000,13.23912
x1.32xlarge,128.00000,1952.00000,0.00000,3840.00000,26.47686
r3.large,2.00000,15.00000,0.00000,32.00000,0.27379
r3.xlarge,4.00000,30.50000,0.00000,80.00000,0.54621
r3.2xlarge,8.00000,61.00000,0.00000,160.00000,1.09242
r3.4xlarge,16.00000,122.00000,0.00000,320.00000,2.18484
r3.8xlarge,32.00000,244.00000,0.00000,640.00000,4.36969
r4.large,2.00000,15.25000,0.00000,0.00000,0.21903
r4.xlarge,4.00000,30.50000,0.00000,0.00000,0.43670
r4.2xlarge,8.00000,61.00000,0.00000,0.00000,0.87339
r4.4xlarge,16.00000,122.00000,0.00000,0.00000,1.74815
r4.8xlarge,32.00000,244.00000,0.00000,0.00000,3.49630
r4.16xlarge,64.00000,488.00000,0.00000,0.00000,6.99123
i3.large,2.00000,15.25000,0.00000,475.00000,0.25599
i3.xlarge,4.00000,30.50000,0.00000,950.00000,0.51199
i3.2xlarge,8.00000,61.00000,0.00000,1900.00000,1.02397
i3.4xlarge,16.00000,122.00000,0.00000,3800.00000,2.04795
i3.8xlarge,32.00000,244.00000,0.00000,7600.00000,4.09590
i3.16xlarge,64.00000,488.00000,0.00000,15200.00000,8.19180
d2.xlarge,4.00000,30.50000,6000.00000,0.00000,1.19099
d2.2xlarge,8.00000,61.00000,12000.00000,0.00000,2.38197
d2.4xlarge,16.00000,122.00000,24000.00000,0.00000,4.76395
d2.8xlarge,36.00000,244.00000,48000.00000,0.00000,9.52789
