,"HDD storage, GB",Name,"Price per hour, NZD (ex GST)","RAM, GB","SSD storage, GB",vCPU
0,2.0,B1S,0.02,1.0,0.0,1.0
1,8.0,B2S,0.08,4.0,0.0,2.0
2,4.0,B1MS,0.04,2.0,0.0,1.0
3,16.0,B2MS,0.16,8.0,0.0,2.0
4,32.0,B4MS,0.32,16.0,0.0,4.0
5,64.0,B8MS,0.64,32.0,0.0,8.0
6,10.0,A1 v2,0.0625,2.0,0.0,1.0
7,20.0,A2 v2,0.1325,4.0,0.0,2.0
8,40.0,A4 v2,0.2775,8.0,0.0,4.0
9,80.0,A8 v2,0.58375,16.0,0.0,8.0
10,20.0,A2m v2,0.18625,16.0,0.0,2.0
11,40.0,A4m v2,0.39,32.0,0.0,4.0
12,80.0,A8m v2,0.81875,64.0,0.0,8.0
13,0.0,D2 v3,0.15625,8.0,50.0,2.0
14,0.0,D4 v3,0.3125,16.0,100.0,4.0
15,0.0,D8 v3,0.625,32.0,200.0,8.0
16,0.0,D16 v3,1.25,64.0,400.0,16.0
17,0.0,D32 v3,2.5,128.0,800.0,32.0
18,0.0,D64 v3,5.0,256.0,1600.0,64.0
19,16.0,D2s v3,0.15625,8.0,0.0,2.0
20,32.0,D4s v3,0.3125,16.0,0.0,4.0
21,64.0,D8s v3,0.625,32.0,0.0,8.0
22,128.0,D16s v3,1.25,64.0,0.0,16.0
23,256.0,D32s v3,2.5,128.0,0.0,32.0
24,512.0,D64s v3,5.0,256.0,0.0,64.0
25,100.0,D2 v2 Promo,0.125,7.0,0.0,2.0
26,200.0,D3 v2 Promo,0.25,14.0,0.0,4.0
27,400.0,D4 v2 Promo,0.5,28.0,0.0,8.0
28,800.0,D5 v2 Promo,1.0,56.0,0.0,16.0
29,50.0,D1 v2,0.105,3.5,0.0,1.0
30,100.0,D2 v2,0.21,7.0,0.0,2.0
31,200.0,D3 v2,0.42,14.0,0.0,4.0
32,400.0,D4 v2,0.841,28.0,0.0,8.0
33,800.0,D5 v2,1.681,56.0,0.0,16.0
34,7.0,DS1 v2,0.105,3.5,0.0,1.0
35,14.0,DS2 v2,0.21,7.0,0.0,2.0
36,28.0,DS3 v2,0.42,14.0,0.0,4.0
37,56.0,DS4 v2,0.841,28.0,0.0,8.0
38,112.0,DS5 v2,1.681,56.0,0.0,16.0
