,"HDD storage, GB",Name,"Price per hour, NZD (ex GST)","RAM, GB","SSD storage, GB",vCPU
0,0.0,c1.c1.r05,0.023,0.5,0.0,1.0
1,0.0,c1.c1r1,0.044,1.0,0.0,1.0
2,0.0,c1.c1r2,0.062,2.0,0.0,1.0
3,0.0,c1.c1r4,0.098,4.0,0.0,1.0
4,0.0,c1.c2r1,0.07,1.0,0.0,2.0
5,0.0,c1.c2r2,0.088,2.0,0.0,2.0
6,0.0,c1.c2r4,0.124,4.0,0.0,2.0
7,0.0,c1.c2r8,0.196,8.0,0.0,2.0
8,0.0,c1.c2r16,0.339,16.0,0.0,2.0
9,0.0,c1.c4r2,0.14,2.0,0.0,4.0
10,0.0,c1.c4r4,0.176,4.0,0.0,4.0
11,0.0,c1.c4r8,0.248,8.0,0.0,4.0
12,0.0,c1.c4r16,0.391,16.0,0.0,4.0
13,0.0,c1.c4r32,0.678,32.0,0.0,4.0
14,0.0,c1.c8r4,0.28,4.0,0.0,8.0
15,0.0,c1.c8r8,0.352,8.0,0.0,8.0
16,0.0,c1.c8r16,0.496,16.0,0.0,8.0
17,0.0,c1.c8r32,0.783,32.0,0.0,8.0
18,0.0,c1.c8r64,1.112,64.0,0.0,8.0
19,0.0,c1.c16r8,0.566,8.0,0.0,16.0
20,0.0,c1.c16r16,0.711,16.0,0.0,16.0
21,0.0,c1.c16r32,1.001,32.0,0.0,16.0
22,0.0,c1.c16r64,1.352,64.0,0.0,16.0
23,0.0,c1.c16r96,1.599,96.0,0.0,16.0
24,0.0,c1.c16r128,1.845,128.0,0.0,16.0
25,0.0,c1.c16r256,3.176,256.0,0.0,16.0
26,0.0,c1.c32r16,1.057,16.0,0.0,32.0
27,0.0,c1.c32r32,1.26,32.0,0.0,32.0
28,0.0,c1.c32r64,1.586,64.0,0.0,32.0
29,0.0,c1.c32r96,1.816,96.0,0.0,32.0
30,0.0,c1.c32r128,2.191,128.0,0.0,32.0
31,0.0,c1.c32r256 (beta),3.688,256.0,0.0,32.0
32,0.0,c1.c32r512 (beta),6.352,512.0,0.0,32.0
33,0.0,c1.c64r256 (beta),4.381,256.0,0.0,64.0
34,0.0,c1.c64r512 (beta),6.916,512.0,0.0,64.0
35,0.0,c1.c64r768 (beta),9.81,768.0,0.0,64.0
36,0.0,c1.c64r1024 (beta),12.703,1024.0,0.0,64.0
37,0.0,c1.c64r1280 (beta),15.596,1280.0,0.0,64.0
