,Flavour,vCPUs,RAM (GiB),HDD (GB),SSD (GB),Azure,Catalyst,Google,AWS
0,A0,1.0,0.75,20.0,0.0,0.036,0.05109374999999999,0.04376109375000001,0.025045937500000007
1,A1,1.0,1.75,40.0,0.0,0.048,0.06468749999999997,0.06655437499999999,0.04113359375000001
2,A2,2.0,3.5,60.0,0.0,0.156,0.12759374999999992,0.16545968749999998,0.15610015624999996
3,A3,4.0,7.0,120.0,0.0,0.347,0.24503124999999987,0.30157749999999994,0.36046624218749995
4,A4,8.0,14.0,240.0,0.0,0.693,0.4861718749999997,0.6101700000000003,0.6808841458333339
5,A1 v2,1.0,2.0,0.0,10.0,0.075,0.06468749999999997,0.07833874999999997,0.048512812500000016
6,A2 v2,2.0,4.0,0.0,20.0,0.159,0.12759374999999992,0.16545968749999998,0.1538546874999999
7,A4 v2,4.0,8.0,0.0,40.0,0.332,0.24503124999999987,0.30157749999999994,0.3601537109375
8,A8 v2,8.0,16.0,0.0,80.0,0.698,0.4861718749999997,0.6159903125000004,0.6896752916666673
9,A2m v2,2.0,16.0,0.0,20.0,0.266,0.37604687499999984,0.2505132812500002,0.23764626562500005
10,A4m v2,4.0,32.0,0.0,40.0,0.559,0.6973124999999997,0.5051968749999994,0.4854537604166662
11,A8m v2,8.0,64.0,0.0,80.0,1.174,1.0775937500000008,1.2169999999999992,0.9773444531250002
12,D1 v2,1.0,3.5,0.0,50.0,0.123,0.10599999999999994,0.118391875,0.1672878124999999
13,D2 v2,2.0,7.0,0.0,100.0,0.233,0.20404687499999993,0.18500234375000005,0.23791962053571405
14,D3 v2,4.0,14.0,0.0,200.0,0.466,0.41182812499999977,0.3302953125,0.4507271875000005
15,D4 v2,8.0,28.0,0.0,400.0,0.931,0.7999062500000002,0.7237815625,0.9345189791666663
16,D5 v2,16.0,56.0,0.0,800.0,1.861,1.2786718749999995,1.5272376562500005,1.5545281249999994
17,F1,1.0,2.0,16.0,0.0,0.098,0.06468749999999997,0.07833874999999997,0.04113359375000001
18,F2,2.0,4.0,32.0,0.0,0.195,0.12759374999999992,0.16545968749999998,0.11691421874999994
19,F4,4.0,8.0,64.0,0.0,0.39,0.24503124999999987,0.30157749999999994,0.36046624218749995
20,F8,8.0,16.0,128.0,0.0,0.78,0.4861718749999997,0.6159903125000004,0.6808841458333339
21,F16,16.0,32.0,256.0,0.0,1.556,0.9789374999999992,1.205500937500001,1.361530625000001
22,D11 v2,2.0,14.0,100.0,0.0,0.299,0.37604687499999984,0.2193267187500002,0.21308056250000001
23,D12 v2,4.0,28.0,200.0,0.0,0.596,0.6973124999999997,0.4747271874999994,0.4953575885416661
24,D13 v2,8.0,56.0,400.0,0.0,1.192,1.0775937500000008,1.1125062499999996,1.069149765625
25,D14 v2,16.0,112.0,800.0,0.0,2.383,1.6507187500000005,1.9727557812499998,2.083178281249999
26,D15 v2,20.0,140.0,1000.0,0.0,2.979,1.7151718750000007,2.2277639062500008,2.083178281249999
