,Flavour,vCPUs,RAM (GiB),HDD (GB),SSD (GB),Catalyst,Google,AWS,Azure
0,c1.c1r1,1.0,1.0,0.0,0.0,0.044,0.04376109375000001,0.029494375000000014,0.061343750000000016
1,c1.c1r2,1.0,2.0,0.0,0.0,0.062,0.07833874999999997,0.04113359375000001,0.087453125
2,c1.c1r4,1.0,4.0,0.0,0.0,0.098,0.118391875,0.09584624999999992,0.14982812500000006
3,c1.c2r1,2.0,1.0,0.0,0.0,0.07,0.10267593749999993,0.060167343750000005,0.09473437499999998
4,c1.c2r2,2.0,2.0,0.0,0.0,0.088,0.13455218749999992,0.0678696875,0.114
5,c1.c2r4,2.0,4.0,0.0,0.0,0.124,0.16545968749999998,0.11691421874999994,0.17981250000000013
6,c1.c2r8,2.0,8.0,0.0,0.0,0.196,0.18644187500000006,0.18155478459821428,0.25976562500000006
7,c1.c2r16,2.0,16.0,0.0,0.0,0.339,0.2505132812500002,0.21329446875000002,0.3199999999999999
8,c1.c4r2,4.0,2.0,0.0,0.0,0.14,0.25409375000000006,0.3242401171875,0.2456406250000001
9,c1.c4r4,4.0,4.0,0.0,0.0,0.176,0.28628421875,0.3316405859375,0.27448437500000006
10,c1.c4r8,4.0,8.0,0.0,0.0,0.248,0.30157749999999994,0.36046624218749995,0.37498437500000026
11,c1.c4r16,4.0,16.0,0.0,0.0,0.391,0.3672703124999998,0.35347922135416665,0.4600000000000002
12,c1.c4r32,4.0,32.0,0.0,0.0,0.678,0.5051968749999994,0.4854537604166662,0.6979999999999996
13,c1.c8r4,8.0,4.0,0.0,0.0,0.28,0.5561318750000004,0.6482006562500005,0.6120156250000003
14,c1.c8r8,8.0,8.0,0.0,0.0,0.352,0.5769507812500004,0.6763712812500006,0.6517031250000004
15,c1.c8r16,8.0,16.0,0.0,0.0,0.496,0.6159903125000004,0.6808841458333339,0.7493125000000004
16,c1.c8r32,8.0,32.0,0.0,0.0,0.783,0.7787853125000002,0.7374801041666668,0.9338124999999998
17,c1.c8r64,8.0,64.0,0.0,0.0,1.112,1.2169999999999992,0.9756333593750002,1.1164687500000001
18,c1.c16r8,16.0,8.0,0.0,0.0,0.566,1.0682814062500008,1.2179825000000009,1.1971249999999996
19,c1.c16r16,16.0,16.0,0.0,0.0,0.711,1.109985625000001,1.234687812500001,1.2417968749999995
20,c1.c16r32,16.0,32.0,0.0,0.0,1.001,1.205500937500001,1.361530625000001,1.4837031249999988
21,c1.c16r64,16.0,64.0,0.0,0.0,1.352,1.6836339062500008,1.4151099999999994,1.5848906249999999
22,c1.c32r16,32.0,16.0,0.0,0.0,1.057,2.1846876562500013,2.48432390625,1.328562499999999
23,c1.c32r32,32.0,32.0,0.0,0.0,1.26,2.295385468750001,2.6062251041666666,1.5805781249999986
24,c1.c32r64,32.0,64.0,0.0,0.0,1.586,2.703515312500001,2.8783245312500005,1.6944687499999997
25,c1.c32r96,32.0,96.0,0.0,0.0,1.816,2.774214687500002,3.0362246875000007,1.9074374999999997
26,c1.c32r128,32.0,128.0,0.0,0.0,2.191,2.9721131250000026,3.1755165625000012,1.999390625
