,Name,vCPU,"RAM, GB","HDD storage, GB","SSD storage, GB","Catalyst price per hour, NZD (ex GST)","Google price per hour, NZD (ex GST)","AWS price per hour, NZD (ex GST)","Azure price per hour, NZD (ex GST)"
0,m5.large,2.0,8.0,0.0,0.0,0.22245628572421616,0.1432272199170124,0.17662788,0.17973303401915203
1,m5.2xlarge,8.0,32.0,0.0,0.0,0.6312064350588398,0.5729088796680496,0.7065115200000001,0.6502579187257387
2,m5.12xlarge,48.0,192.0,0.0,0.0,3.356207430622997,3.4374532780082983,4.23906912,3.7870904834363164
4,t2.nano,1.0,0.5,0.0,0.0,0.11669006968110426,0.012868070539419081,0.0107448627,0.09243993023519566
5,t2.medium,2.0,4.0,0.0,0.0,0.17943778154820705,0.07608946058091284,0.0859589016,0.16959327440064695
6,m5.xlarge,4.0,16.0,0.0,0.0,0.35870633550242403,0.2864544398340248,0.35325576000000003,0.3365746622546809
7,m4.large,2.0,8.0,0.0,0.0,0.22245628572421616,0.1432272199170124,0.183987375,0.17973303401915203
8,t2.micro,1.0,1.0,0.0,0.0,0.12206738270310541,0.02126029045643153,0.0214897254,0.09370740018750878
9,t2.large,2.0,8.0,0.0,0.0,0.22245628572421616,0.1432272199170124,0.1719178032,0.17973303401915203
10,m4.xlarge,4.0,16.0,0.0,0.0,0.35870633550242403,0.2864544398340248,0.36797475,0.3365746622546809
11,t2.2xlarge,8.0,32.0,0.0,0.0,0.6312064350588398,0.5729088796680496,0.6876712128,0.6502579187257387
12,m4.10xlarge,40.0,160.0,0.0,0.0,2.8112072315101657,2.8645443983402483,3.6797475,3.1597239704942006
13,m5.4xlarge,16.0,64.0,0.0,0.0,1.1762066341716713,1.1458177593360992,1.41302304,1.2776244316678542
14,t2.small,1.0,2.0,0.0,0.0,0.13282200874710767,0.03804473029045642,0.0429794508,0.09624234009213505
15,m4.4xlarge,16.0,64.0,0.0,0.0,1.1762066341716713,1.1458177593360992,1.471899,1.2776244316678542
16,m4.2xlarge,8.0,32.0,0.0,0.0,0.6312064350588398,0.5729088796680496,0.7359495,0.6502579187257387
17,t2.xlarge,4.0,16.0,0.0,0.0,0.35870633550242403,0.2864544398340248,0.3438356064,0.3365746622546809
18,m4.16xlarge,64.0,256.0,0.0,0.0,4.44620782884866,4.583271037344397,5.887596,5.0418235093205475
