,Name,vCPU,"RAM, GB","HDD storage, GB","SSD storage, GB","Catalyst price per hour, NZD (ex GST)","Google price per hour, NZD (ex GST)","AWS price per hour, NZD (ex GST)","Azure price per hour, NZD (ex GST)"
0, B1S ,1.0,1.0,2.0,0.0,0.12206738270310541,0.02126029045643153,0.01919812489624436,0.02
1, B2S ,2.0,4.0,8.0,0.0,0.17943778154820705,0.07608946058091284,0.09034947330785935,0.08
2, B1MS ,1.0,2.0,4.0,0.0,0.13282200874710767,0.03804473029045642,0.03879324449818388,0.04
3, B2MS ,2.0,8.0,16.0,0.0,0.22245628572421616,0.1432272199170124,0.16872995171561744,0.16
4, B4MS ,4.0,16.0,32.0,0.0,0.35870633550242403,0.2864544398340248,0.3502228877427265,0.32
5, B8MS ,8.0,32.0,64.0,0.0,0.6312064350588398,0.5729088796680496,0.7132087597969445,0.64
6, A1 v2 ,1.0,2.0,10.0,0.0,0.13282200874710767,0.03804473029045642,0.03879324449818388,0.0625
7, A2 v2 ,2.0,4.0,20.0,0.0,0.17943778154820705,0.07608946058091284,0.09034947330785935,0.1325
8, A4 v2 ,4.0,8.0,40.0,0.0,0.2726693271504058,0.1521789211618257,0.19346193092721028,0.2775
9, A8 v2 ,8.0,16.0,80.0,0.0,0.4591324183548034,0.3043578423236514,0.39968684616591216,0.58375
10, A2m v2 ,2.0,16.0,20.0,0.0,0.3084932940762344,0.27750273858921154,0.3254909085311336,0.18625
11, A4m v2 ,4.0,32.0,40.0,0.0,0.5307803522064605,0.5550054771784231,0.6637448013737588,0.39
12, A8m v2 ,8.0,64.0,80.0,0.0,0.9753544684669125,1.1100109543568462,1.3402525870590092,0.81875
13, D2 v3 ,2.0,8.0,50.0,0.0,0.22245628572421616,0.1432272199170124,0.16872995171561744,0.15625
14, D4 v3 ,4.0,16.0,100.0,0.0,0.35870633550242403,0.2864544398340248,0.3502228877427265,0.3125
15, D8 v3 ,8.0,32.0,200.0,0.0,0.6312064350588398,0.5729088796680496,0.7132087597969445,0.625
16, D16 v3 ,16.0,64.0,400.0,0.0,1.1762066341716713,1.1458177593360992,1.4391805039053807,1.25
17, D32 v3 ,32.0,128.0,800.0,0.0,2.2662070323973342,2.2916355186721984,2.891123992122253,2.5
18, D64 v3 ,64.0,256.0,1600.0,0.0,4.44620782884866,4.583271037344397,5.795010968555998,5.0
19, D2s v3 ,2.0,8.0,16.0,0.0,0.22245628572421616,0.1432272199170124,0.16872995171561744,0.15625
20, D4s v3 ,4.0,16.0,32.0,0.0,0.35870633550242403,0.2864544398340248,0.3502228877427265,0.3125
21, D8s v3 ,8.0,32.0,64.0,0.0,0.6312064350588398,0.5729088796680496,0.7132087597969445,0.625
22, D16s v3 ,16.0,64.0,128.0,0.0,1.1762066341716713,1.1458177593360992,1.4391805039053807,1.25
23, D32s v3 ,32.0,128.0,256.0,0.0,2.2662070323973342,2.2916355186721984,2.891123992122253,2.5
24, D64s v3 ,64.0,256.0,512.0,0.0,4.44620782884866,4.583271037344397,5.795010968555998,5.0
25, D2 v2 Promo ,2.0,7.0,100.0,0.0,0.21170165968021387,0.1264427800829875,0.14913483211367792,0.168
26, D3 v2 Promo ,4.0,14.0,200.0,0.0,0.33719708341441945,0.252885560165975,0.31103264853884743,0.336
27, D4 v2 Promo ,8.0,28.0,400.0,0.0,0.5881879308828306,0.50577112033195,0.6348282813891865,0.6729999999999999
28, D5 v2 Promo ,16.0,56.0,800.0,0.0,1.090169625819653,1.0115422406639,1.2824195470898645,1.345
29, D1 v2 ,1.0,3.5,50.0,0.0,0.14895394781311108,0.06322139004149376,0.06818592390109317,0.105
30, D2 v2 ,2.0,7.0,100.0,0.0,0.21170165968021387,0.1264427800829875,0.14913483211367792,0.21
31, D3 v2 ,4.0,14.0,200.0,0.0,0.33719708341441945,0.252885560165975,0.31103264853884743,0.42
32, D4 v2 ,8.0,28.0,400.0,0.0,0.5881879308828306,0.50577112033195,0.6348282813891865,0.841
33, D5 v2 ,16.0,56.0,800.0,0.0,1.090169625819653,1.0115422406639,1.2824195470898645,1.681
34, DS1 v2 ,1.0,3.5,7.0,0.0,0.14895394781311108,0.06322139004149376,0.06818592390109317,0.105
35, DS2 v2 ,2.0,7.0,14.0,0.0,0.21170165968021387,0.1264427800829875,0.14913483211367792,0.21
36, DS3 v2 ,4.0,14.0,28.0,0.0,0.33719708341441945,0.252885560165975,0.31103264853884743,0.42
37, DS4 v2 ,8.0,28.0,56.0,0.0,0.5881879308828306,0.50577112033195,0.6348282813891865,0.841
38, DS5 v2 ,16.0,56.0,112.0,0.0,1.090169625819653,1.0115422406639,1.2824195470898645,1.681
