,Name,vCPU,"RAM, GB","HDD storage, GB","SSD storage, GB","Catalyst price per hour, NZD (ex GST)","Google price per hour, NZD (ex GST)","AWS price per hour, NZD (ex GST)","Azure price per hour, NZD (ex GST)"
0,c1.c1.r05,1.0,0.5,0.0,0.0,0.023,0.012868070539419081,0.009442997343977619,0.09243993023519566
1,c1.c1r1,1.0,1.0,0.0,0.0,0.044000000000000004,0.02126029045643153,0.01928478134742241,0.09370740018750878
2,c1.c1r2,1.0,2.0,0.0,0.0,0.062,0.03804473029045642,0.03896834935431201,0.09624234009213505
3,c1.c1r4,1.0,4.0,0.0,0.0,0.098,0.0716136099585062,0.0783354853680912,0.10131221990138758
4,c1.c2r1,2.0,1.0,0.0,0.0,0.07,0.025736141078838162,0.031706588528129215,0.16198845468676817
5,c1.c2r2,2.0,2.0,0.0,0.0,0.08800000000000001,0.04252058091286306,0.0513901565350188,0.16452339459139442
6,c1.c2r4,2.0,4.0,0.0,0.0,0.124,0.07608946058091284,0.090757292548798,0.16959327440064695
7,c1.c2r8,2.0,8.0,0.0,0.0,0.196,0.1432272199170124,0.1694915645763564,0.17973303401915203
8,c1.c2r16,2.0,16.0,0.0,0.0,0.33899999999999997,0.27750273858921154,0.3269601086314731,0.20001255325616213
9,c1.c4r2,4.0,2.0,0.0,0.0,0.14,0.051472282157676325,0.0762337708964324,0.3010855035899132
10,c1.c4r4,4.0,4.0,0.0,0.0,0.17600000000000002,0.08504116182572612,0.11560090691021158,0.3061553833991657
11,c1.c4r8,4.0,8.0,0.0,0.0,0.248,0.1521789211618257,0.19433517893776997,0.31629514301767075
12,c1.c4r16,4.0,16.0,0.0,0.0,0.391,0.2864544398340248,0.35180372299288676,0.3365746622546809
13,c1.c4r32,4.0,32.0,0.0,0.0,0.6779999999999999,0.5550054771784231,0.6667408111031202,0.3771337007287011
14,c1.c8r4,8.0,4.0,0.0,0.0,0.28,0.10294456431535265,0.1652881356330388,0.5792796013962033
15,c1.c8r8,8.0,8.0,0.0,0.0,0.35200000000000004,0.17008232365145223,0.24402240766059713,0.5894193610147083
16,c1.c8r16,8.0,16.0,0.0,0.0,0.496,0.3043578423236514,0.4014909517157139,0.6096988802517184
17,c1.c8r32,8.0,32.0,0.0,0.0,0.7829999999999999,0.5729088796680496,0.7164280398259475,0.6502579187257387
18,c1.c8r64,8.0,64.0,0.0,0.0,1.112,1.1100109543568462,1.3463022160464144,0.7313759956737791
19,c1.c16r8,16.0,8.0,0.0,0.0,0.5660000000000001,0.2058891286307053,0.34339686510625156,1.1356677970087834
20,c1.c16r16,16.0,16.0,0.0,0.0,0.711,0.34016464730290447,0.5008654091613682,1.1559473162457934
21,c1.c16r32,16.0,32.0,0.0,0.0,1.001,0.6087156846473027,0.8158024972716018,1.1965063547198136
22,c1.c16r64,16.0,64.0,0.0,0.0,1.3519999999999999,1.1458177593360992,1.445676673492069,1.2776244316678542
23,c1.c16r96,16.0,96.0,0.0,0.0,1.599,1.6829198340248959,2.0755508497125357,1.3587425086158946
24,c1.c16r128,16.0,128.0,0.0,0.0,1.845,2.2200219087136923,2.705425025933003,1.439860585563935
25,c1.c16r256,16.0,256.0,0.0,0.0,3.176,4.368430207468879,5.224921730814871,1.7643328933560969
26,c1.c32r16,32.0,16.0,0.0,0.0,1.057,0.4117782572614106,0.6996143240526771,2.2484441882339437
27,c1.c32r32,32.0,32.0,0.0,0.0,1.26,0.6803292946058089,1.0145514121629104,2.2890032267079636
28,c1.c32r64,32.0,64.0,0.0,0.0,1.5859999999999999,1.2174313692946055,1.6444255883833776,2.370121303656004
29,c1.c32r96,32.0,96.0,0.0,0.0,1.8159999999999998,1.7545334439834022,2.2742997646038443,2.4512393806040444
30,c1.c32r128,32.0,128.0,0.0,0.0,2.191,2.2916355186721984,2.904173940824312,2.5323574575520853
31,c1.c32r256 (beta),32.0,256.0,0.0,0.0,3.688,4.440043817427385,5.42367064570618,2.856829765344247
33,c1.c64r256 (beta),64.0,256.0,0.0,0.0,4.381,4.583271037344397,5.821168475488798,5.0418235093205475
